t (s),t (h),$h_p$ (nm),$h_p$ ($\mu$m),$x_p$ (mm)
100.0,0.027777777777777776,3719.6638138094286,3.7196638138094285,0.705607476635514
200.0,0.05555555555555555,3623.0146647923543,3.6230146647923545,0.7897196261682244
300.0,0.08333333333333333,3595.3282290884545,3.5953282290884543,0.883177570093458
400.0,0.1111111111111111,3583.5264458403003,3.5835264458403002,0.9439252336448598
500.0,0.1388888888888889,3586.8725721732158,3.586872572173216,0.9766355140186915
600.0,0.16666666666666666,3588.175571152784,3.588175571152784,1.0420560747663552
700.0,0.19444444444444445,3599.7690050857345,3.5997690050857347,1.0794392523364487
800.0,0.2222222222222222,3629.9148915228375,3.6299148915228376,1.1168224299065421
900.0,0.25,3634.333085516136,3.634333085516136,1.1682242990654208
1000.0,0.2777777777777778,3645.9714952104564,3.6459714952104565,1.2149532710280375
1100.0,0.3055555555555556,3660.750150679925,3.6607501506799247,1.2242990654205608
1200.0,0.3333333333333333,3676.254923935679,3.676254923935679,1.2850467289719627
1300.0,0.3611111111111111,3711.4915212103306,3.7114915212103305,1.266355140186916
1400.0,0.3888888888888889,3703.9838402623186,3.7039838402623184,1.327102803738318
1500.0,0.4166666666666667,3728.0649472021687,3.7280649472021685,1.3457943925233644
1600.0,0.4444444444444444,3752.2221622261445,3.7522221622261447,1.3457943925233644
1700.0,0.4722222222222222,3766.226195050899,3.766226195050899,1.4252336448598133
1800.0,0.5,3779.187994019465,3.779187994019465,1.4485981308411215
1900.0,0.5277777777777778,3791.2298221215347,3.791229822121535,1.4299065420560748
2000.0,0.5555555555555556,3824.863324761078,3.8248633247610777,1.5046728971962617
2100.0,0.5833333333333334,3824.576661558105,3.824576661558105,1.5093457943925235
2200.0,0.6111111111111112,3843.186119278121,3.8431861192781214,1.5373831775700937
2300.0,0.6388888888888888,3868.9392005227023,3.868939200522702,1.5420560747663552
2400.0,0.6666666666666666,3903.7893091435612,3.903789309143561,1.5700934579439252
2500.0,0.6944444444444444,3907.758616808515,3.9077586168085148,1.5934579439252337
2600.0,0.7222222222222222,3925.650860820318,3.925650860820318,1.6121495327102804
2700.0,0.75,3965.36479054906,3.96536479054906,1.6214953271028039
2800.0,0.7777777777777778,3968.53320315643,3.9685332031564298,1.649532710280374
2900.0,0.8055555555555556,3995.8633084768194,3.9958633084768196,1.7009345794392525
3000.0,0.8333333333333334,4020.224167104897,4.020224167104897,1.733644859813084
3100.0,0.8611111111111112,4042.45228404566,4.04245228404566,1.738317757009346
3200.0,0.8888888888888888,4048.3538391929064,4.048353839192907,1.7196261682242993
3300.0,0.9166666666666666,4070.413402414768,4.070413402414768,1.7710280373831777
3400.0,0.9444444444444444,4102.052026981391,4.102052026981391,1.7710280373831777
3500.0,0.9722222222222222,4116.730429416297,4.116730429416297,1.7897196261682244
3600.0,1.0,4134.178268716861,4.134178268716861,1.813084112149533
3700.0,1.0277777777777777,4164.8799282687505,4.164879928268751,1.8364485981308412
3800.0,1.0555555555555556,4187.443677549494,4.187443677549494,1.8364485981308412
3900.0,1.0833333333333333,4200.28740845752,4.20028740845752,1.8598130841121496
4000.0,1.1111111111111112,4234.863218303372,4.2348632183033725,1.9205607476635516
4100.0,1.1388888888888888,4241.438864142589,4.241438864142589,1.8738317757009348
4200.0,1.1666666666666667,4263.49221919269,4.26349221919269,1.9485981308411215
4300.0,1.1944444444444444,4293.286847545887,4.293286847545887,1.9205607476635516
4400.0,1.2222222222222223,4302.076045257972,4.302076045257971,1.9766355140186918
4500.0,1.25,4318.651943007366,4.3186519430073655,1.957943925233645
4600.0,1.2777777777777777,4347.292709238853,4.347292709238853,2.0093457943925235
4700.0,1.3055555555555556,4366.359797382032,4.3663597973820325,2.032710280373832
4800.0,1.3333333333333333,4382.026038593142,4.382026038593143,2.0280373831775704
4900.0,1.3611111111111112,4407.264611034727,4.407264611034726,2.046728971962617
5000.0,1.3888888888888888,4421.757490872542,4.421757490872542,2.088785046728972
5100.0,1.4166666666666667,4454.589885250015,4.454589885250015,2.0747663551401874
5200.0,1.4444444444444444,4467.240067897552,4.467240067897552,2.112149532710281
5300.0,1.4722222222222223,4487.304596201698,4.487304596201698,2.126168224299066
5400.0,1.5,4503.385937624853,4.503385937624853,2.1401869158878504
5500.0,1.5277777777777777,4531.793659522978,4.531793659522978,2.168224299065421
5600.0,1.5555555555555556,4541.466268331121,4.541466268331121,2.1635514018691593
5700.0,1.5833333333333333,4568.044234084239,4.5680442340842395,2.182242990654206
5800.0,1.6111111111111112,4588.368567490586,4.588368567490586,2.2009345794392527
5900.0,1.6388888888888888,4616.143392803294,4.616143392803294,2.266355140186916
6000.0,1.6666666666666667,4628.564989444647,4.628564989444647,2.2850467289719627
6100.0,1.6944444444444444,4644.302850713671,4.644302850713672,2.299065420560748
6200.0,1.7222222222222223,4659.728094499571,4.659728094499571,2.289719626168224
6300.0,1.75,4687.841621858819,4.687841621858819,2.2803738317757007
6400.0,1.7777777777777777,4701.324011810801,4.701324011810801,2.331775700934579
6500.0,1.8055555555555556,4726.970786633166,4.726970786633166,2.341121495327103
6600.0,1.8333333333333333,4743.978341527699,4.743978341527699,2.364485981308411
6700.0,1.8611111111111112,4766.528162175368,4.766528162175368,2.3504672897196266
6800.0,1.8888888888888888,4791.5361208188715,4.791536120818871,2.364485981308411
6900.0,1.9166666666666667,4800.13975055873,4.80013975055873,2.4065420560747666
7000.0,1.9444444444444444,4820.573255019198,4.820573255019198,2.4532710280373835
7100.0,1.9722222222222223,4847.882414960317,4.847882414960317,2.4158878504672896
7200.0,2.0,4863.405167546872,4.863405167546872,2.4392523364485985
7300.0,2.0277777777777777,4874.509303202896,4.874509303202896,2.4813084112149535
7400.0,2.0555555555555554,4911.829410376294,4.911829410376294,2.504672897196262
7500.0,2.0833333333333335,4925.451011940238,4.925451011940238,2.490654205607477
7600.0,2.111111111111111,4937.2494991787935,4.937249499178794,2.504672897196262
7700.0,2.138888888888889,4956.891263969078,4.956891263969078,2.514018691588785
7800.0,2.1666666666666665,4982.098418021383,4.9820984180213825,2.5420560747663554
7900.0,2.1944444444444446,4998.538382460952,4.998538382460952,2.602803738317757
8000.0,2.2222222222222223,5025.482894377884,5.025482894377884,2.602803738317757
8100.0,2.25,5038.276764921762,5.038276764921762,2.6168224299065423
8200.0,2.2777777777777777,5061.927893087809,5.061927893087809,2.649532710280374
8300.0,2.3055555555555554,5094.685454367247,5.094685454367247,2.6775700934579443
8400.0,2.3333333333333335,5112.229288887904,5.112229288887904,2.5981308411214954
8500.0,2.361111111111111,5130.811016418963,5.130811016418963,2.635514018691589
8600.0,2.388888888888889,5145.674259667643,5.1456742596676435,2.691588785046729
8700.0,2.4166666666666665,5161.955285728037,5.161955285728037,2.682242990654206
8800.0,2.4444444444444446,5187.442325060671,5.187442325060671,2.752336448598131
8900.0,2.4722222222222223,5208.242253641092,5.208242253641092,2.7289719626168227
9000.0,2.5,5223.5272218962755,5.223527221896275,2.7429906542056073
9100.0,2.5277777777777777,5240.404695374135,5.240404695374135,2.780373831775701
9200.0,2.5555555555555554,5262.315487973369,5.262315487973369,2.794392523364486
9300.0,2.5833333333333335,5282.880318743872,5.282880318743872,2.7897196261682247
9400.0,2.611111111111111,5310.944407531648,5.310944407531648,2.766355140186916
9500.0,2.638888888888889,5318.589271949816,5.318589271949816,2.8364485981308416
9600.0,2.6666666666666665,5341.205556625983,5.341205556625983,2.8271028037383177
9700.0,2.6944444444444446,5365.246940189024,5.3652469401890235,2.901869158878505
9800.0,2.7222222222222223,5385.431548356494,5.385431548356494,2.94392523364486
9900.0,2.75,5388.693392804708,5.388693392804709,2.897196261682243
10000.0,2.7777777777777777,5407.1520338456,5.4071520338456,2.9205607476635516
10100.0,2.8055555555555554,5441.805378525977,5.441805378525977,2.925233644859813
10200.0,2.8333333333333335,5464.649535076276,5.464649535076276,3.004672897196262
10300.0,2.861111111111111,5466.1397656467425,5.4661397656467425,2.967289719626168
10400.0,2.888888888888889,5486.124377376743,5.4861243773767425,3.014018691588785
10500.0,2.9166666666666665,5503.551382523093,5.503551382523093,3.060747663551402
10600.0,2.9444444444444446,5540.417474841133,5.540417474841133,3.079439252336449
10700.0,2.9722222222222223,5545.722687753557,5.545722687753557,3.018691588785047
10800.0,3.0,5557.706015410382,5.557706015410382,3.0560747663551404
10900.0,3.0277777777777777,5595.775269978064,5.595775269978064,3.093457943925234
11000.0,3.0555555555555554,5619.645062825052,5.619645062825052,3.149532710280374
11100.0,3.0833333333333335,5633.9232748801105,5.633923274880111,3.102803738317757
11200.0,3.111111111111111,5636.830103109229,5.6368301031092285,3.0747663551401874
11300.0,3.138888888888889,5668.396455771038,5.668396455771038,3.0514018691588785
11400.0,3.1666666666666665,5695.87925226818,5.695879252268179,3.2149532710280377
11500.0,3.1944444444444446,5695.372590880719,5.695372590880719,3.1308411214953273
11600.0,3.2222222222222223,5721.636805468866,5.721636805468867,3.196261682242991
11700.0,3.25,5752.625583373339,5.752625583373339,3.1168224299065423
11800.0,3.2777777777777777,5770.281046867177,5.770281046867177,3.2897196261682247
11900.0,3.3055555555555554,5774.118400350561,5.774118400350561,3.252336448598131
12000.0,3.3333333333333335,5805.767329360889,5.805767329360888,3.2383177570093458
12100.0,3.361111111111111,5822.287380701523,5.822287380701523,3.294392523364486
12200.0,3.388888888888889,5849.781203339425,5.8497812033394245,3.2429906542056077
12300.0,3.4166666666666665,5843.826648690041,5.843826648690041,3.2710280373831777
12400.0,3.4444444444444446,5877.363554085152,5.877363554085152,3.3130841121495327
12500.0,3.4722222222222223,5903.520416934437,5.903520416934437,3.3364485981308416
12600.0,3.5,5929.604076841235,5.929604076841235,3.2289719626168227
12700.0,3.5277777777777777,5932.271818829699,5.932271818829699,3.2850467289719627
12800.0,3.5555555555555554,5970.8985611560865,5.970898561156087,3.3457943925233646
12900.0,3.5833333333333335,5987.765621869584,5.987765621869584,3.4252336448598135
13000.0,3.611111111111111,6006.9356128838635,6.006935612883863,3.4719626168224305
13100.0,3.638888888888889,6025.325214026744,6.025325214026744,3.4065420560747666
13200.0,3.6666666666666665,6047.566781813829,6.0475667818138295,3.4485981308411215
13300.0,3.6944444444444446,6063.577992345908,6.063577992345907,3.4859813084112155
13400.0,3.7222222222222223,6079.808071707518,6.079808071707518,3.4953271028037385
13500.0,3.75,6099.817506277824,6.099817506277824,3.490654205607477
13600.0,3.7777777777777777,6127.644981237516,6.127644981237516,3.565420560747664
13700.0,3.8055555555555554,6137.506358230548,6.1375063582305485,3.514018691588785
13800.0,3.8333333333333335,6151.939244214026,6.151939244214026,3.6308411214953273
13900.0,3.861111111111111,6174.7996068364355,6.1747996068364355,3.626168224299066
14000.0,3.888888888888889,6201.147852011454,6.201147852011454,3.593457943925234
14100.0,3.9166666666666665,6211.399779298724,6.2113997792987234,3.5841121495327104
14200.0,3.9444444444444446,6240.523402583849,6.240523402583849,3.6308411214953273
14300.0,3.9722222222222223,6255.948401349825,6.2559484013498246,3.6448598130841123
14400.0,4.0,6273.051007775831,6.273051007775831,3.6168224299065423
